question_en,question_ko,answer_en,answer_ko,category,ef_factor,created_at,modified_at
What is a splay tree?,플레이 트리란 무엇인가요?,A self-adjusting binary search tree where recently accessed elements are moved to the root so they are quick to access again.,최근에 접근한 요소들이 다시 빠르게 접근할 수 있도록 루트로 이동하는 자동 조정 Binary Search Tree입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a treap?,트랩이란 무엇인가요?,"A random priority is assigned to every key and must maintain two properties:
-They are in order with respect to their keys, as in a typical binary search tree
-They are in heap order with respect to their priorities, that is, no key has a key of lower priority as an ancestor
O(log N) expected time for all operations, O(N) worst case.","모든 키에 무작위 우선순위가 할당되며 두 가지 속성을 유지해야 합니다:
-그들은 일반적인 Binary Search Tree에서처럼 키에 대해 순서대로 배열되어 있습니다
-우선순위에 따라 힙 순서대로 정렬됩니다. 즉, 어떤 키도 우선순위가 낮은 키를 조상으로 사용하지 않습니다
O(로그 N) 모든 작업에 대한 예상 시간, O(N) 최악의 경우.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is typical cache line size?,일반적인 캐시 라인 크기는 무엇인가요?,"64 bytes.

-- extra below --

To know the sizes, you need to look it up using the documentation for the processor, afaik there is no programatic way to do it. On the plus side however, most cache lines are of a standard size, based on intels standards. On x86 cache lines are 64 bytes, however, to prevent false sharing, you need to follow the guidelines of the processor you are targeting (intel has some special notes on its netburst based processors), generally you need to align to 64 bytes for this (intel states that you should also avoid crossing 16 byte boundries).

To do this in C or C++ requires that you use aligned_malloc or one of the compiler specific specifiers such as __attribute__((align(64))) or __declspec(align(64)). To pad between members in a struct to split them onto different cache lines, you need on insert a member big enough to align it to the next 64 byte boundery","64바이트.

-- 아래 추가 --

크기를 알기 위해서는 프로세서에 대한 설명서를 사용하여 이를 확인해야 합니다. 프로그램적인 방법이 없기 때문입니다. 그러나 긍정적인 측면에서는 대부분의 캐시 라인이 인텔 표준에 기반한 표준 크기입니다. 그러나 x86 캐시 라인은 64바이트이지만, 잘못된 공유를 방지하기 위해 목표로 하는 프로세서의 지침을 따라야 합니다(인텔은 넷버스트 기반 프로세서에 몇 가지 특별한 메모를 가지고 있습니다). 일반적으로 이를 위해 64바이트에 맞춰야 합니다(인텔은 16바이트 경계를 넘지 않아야 한다고 명시하고 있습니다).

C 또는 C++에서 이 작업을 수행하려면 aligned_malloc 또는 __attribute_(((align(64)) 또는 __declspec(align(64))과 같은 컴파일러 특정 지정자 중 하나를 사용해야 합니다. 구조 내의 구성원들 사이를 다른 캐시 라인으로 분할하기 위해 패드를 사용하려면, 다음 64바이트 바운더리에 정렬할 수 있을 만큼 큰 구성원을 삽입해야 합니다",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is latency?,지연 시간이란 무엇인가요?,Latency is the delay from input into a system to desired outcome. The time interval between between a stimulus and response.,지연 시간은 시스템 입력에서 원하는 결과로 지연되는 시간을 말합니다. 자극과 반응 사이의 시간 간격입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a y-fast trie?,Y-패스트 트라이란 무엇인가요?,"A y-fast trie is a data structure for storing integers from a bounded domain. It supports exact and predecessor or successor queries in time O(log log M), using O(n) space, where n is the number of stored values and M is the maximum value in the domain. The structure was proposed by Dan Willard in 1982 to decrease the O(n log M) space used by an x-fast trie.","y-패스트 트라이는 유한한 도메인에서 정수를 저장하기 위한 데이터 구조입니다. 이 구조는 O(log log M) 시간 내에 정확한 쿼리와 이전 쿼리 또는 후속 쿼리를 지원하며, 여기서 n은 저장된 값의 수이고 M은 도메인의 최대값입니다. 이 구조는 1982년 댄 윌라드에 의해 x-패스트 트라이가 사용하는 O(n log M) 공간을 줄이기 위해 제안되었습니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is an x-fast trie?,엑스패스트 트라이란 무엇인가요?,"An x-fast trie is a data structure for storing integers from a bounded domain. It supports exact and predecessor or successor queries in time O(log log M), using O(n log M) space, where n is the number of stored values and M is the maximum value in the domain. The structure was proposed by Dan Willard in 1982, along with the more complicated y-fast trie, as a way to improve the space usage of van Emde Boas trees, while retaining the O(log log M) query time.","x-패스트 트라이(x-fast trie)는 유한한 도메인에서 정수를 저장하기 위한 데이터 구조입니다. 이 구조는 O(n log M) 공간을 사용하여 O(log log M) 시간 내에 정확한 쿼리와 이전 쿼리 또는 후속 쿼리를 지원합니다. 여기서 n은 저장된 값의 수이고 M은 도메인의 최대값입니다. 이 구조는 1982년 댄 윌라드(Dan Willard)에 의해 제안되었으며, 더 복잡한 y-패스트 트라이와 함께 반 엠데 보아스 트리의 공간 사용을 개선하면서 O(log log M) 쿼리 시간을 유지하기 위한 방법입니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a van Emde Boas tree?,반 엠데 보아스 나무란 무엇인가요?,"The van Emde Boas tree supports insertions, deletions, lookups, successor queries, and predecessor queries in time O(log log U), where U is the universe of items to store. Items are stored in clusters of size sqrt(U). 

The van Emde Boas data structure divides the range {0,...,n−1} into blocks of size sqrt(n), which we call clusters. Each cluster is itself a vEB structure of size sqrt(n). In addition, there is a “summary” structure that keeps track of which clusters are nonempty.

More detail:
A van Emde Boas tree (or van Emde Boas priority queue), also known as a vEB tree, is a tree data structure which implements an associative array with m-bit integer keys. It performs all operations in O(log m) time, or equivalently in O(log log M) time, where M = 2m is the maximum number of elements that can be stored in the tree. The M is not to be confused with the actual number of elements stored in the tree, by which the performance of other tree data-structures is often measured. The vEB tree has good space efficiency when it contains a large number of elements, as discussed below. It was invented by a team led by Dutch computer scientist Peter van Emde Boas in 1975.","The van Emde Boas tree supports insertions, deletions, lookups, successor queries, and predecessor queries in time O(log log U), where U is the universe of items to store. Items are stored in clusters of size sqrt(U). 

The van Emde Boas data structure divides the range {0,...,n−1} into blocks of size sqrt(n), which we call clusters. Each cluster is itself a vEB structure of size sqrt(n). In addition, there is a “summary” structure that keeps track of which clusters are nonempty.

More detail:
A van Emde Boas tree (or van Emde Boas priority queue), also known as a vEB tree, is a tree data structure which implements an associative array with m-bit integer keys. It performs all operations in O(log m) time, or equivalently in O(log log M) time, where M = 2m is the maximum number of elements that can be stored in the tree. The M is not to be confused with the actual number of elements stored in the tree, by which the performance of other tree data-structures is often measured. The vEB tree has good space efficiency when it contains a large number of elements, as discussed below. It was invented by a team led by Dutch computer scientist Peter van Emde Boas in 1975.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a compressed trie?,압축 트라이란 무엇인가요?,It's a trie where the non-branching paths are compacted into a single edge.,비가지 경로가 하나의 가장자리로 압축된 트라이입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What relationship of the keys do you lose with a hash table?,해시 테이블에서는 어떤 키의 관계를 잃나요?,The ordering of the keys.,열쇠의 순서.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Sed command to take a file separated by spaces, turn spaces into newlines, and then sort it alphabetically.",공백으로 구분된 파일을 새 줄로 변환한 다음 알파벳순으로 정렬하라는 명령입니다.,sed 's/ /\n/g' words.txt | sort,sed's/ /\n/g'words.txt | 정렬,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Print columns 2, 3, and 6 from the date command.","Print columns 2, 3, and 6 from the date command.","date | awk '{print $2, $3, $6}'","date | awk '{print $2, $3, $6}'",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Take a file delimited by : and make it tab-delimited.,파일을 :로 구분하여 탭 구분으로 만듭니다.,cat /etc/passwd | sed 's/:/\t/g',고양이 /etc/passwd | sed 's/:/\\t/g',CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Output a file with line numbers.,줄 번호가 있는 파일을 출력합니다.,cat -n somefile,고양이 -n 썸파일,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Is quicksort stable?,퀵소트는 안정적인가요?,No.,아니요.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Can quicksort be done in-place?,퀵소트를 제자리에서 할 수 있나요?,Yes.,네.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Can merge sort be done in-place?,Merge Sort을 제자리에서 수행할 수 있나요?,No. It requires O(n) space. There is an in-place version?,아니요. O(n) 공간이 필요합니다. 제자리 버전이 있나요?,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Is merge sort stable?,Merge Sort이 안정적인가요?,Yes.,네.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Is insertion sort stable?,Insertion Sort이 안정적인가요?,Yes.,네.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Can insertion sort be done in-place?,Insertion Sort을 제자리에서 할 수 있나요?,Yes.,네.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Can selection sort be done in-place?,Selection Sort을 제자리에서 할 수 있나요?,Yes.,네.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Is selection sort stable?,선택 항목이 안정적인가요?,No.,아니요.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Is heap sort stable?,Heap Sort은 안정적인가요?,No.,아니요.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Can heap sort be done in-place?,Heap Sort을 제자리에서 할 수 있나요?,Yes.,네.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Write merge sort in C (check answer carefully),Merge Sort을 C로 작성합니다(답변을 주의 깊게 확인하세요),"void merge(int numbers[], int low, int mid, int high) {
  // temp array for holding sorted items
  int b[high - low - 1];
  int i = low;
  int j = mid + 1;
  int k = 0;

  // merge items from list in order
  while (i <= mid && j <= high) {
    if (numbers[i] <= numbers[j]) {
      b[k++] = numbers[i++];
    } else {
      b[k++] = numbers[j++];
    }
  }

  // copy the remaining items to tmp array
  while (i <= mid) b[k++] = numbers[i++];
  while (j <= high) b[k++] = numbers[j++];

  --k;
  while (k >= 0) {
    numbers[low + k] = b[k];
    --k;
  }
}

void merge_sort(int numbers[], int low, int high) {
  if (low < high) {
    int mid = (low + high) / 2;

    merge_sort(numbers, low, mid);
    merge_sort(numbers, mid + 1, high);
    merge(numbers, low, mid, high);
  }
}","void merge(int numbers[], int low, int mid, int high) {
  // temp array for holding sorted items
  int b[high - low - 1];
  int i = low;
  int j = mid + 1;
  int k = 0;

  // merge items from list in order
  while (i <= mid && j <= high) {
    if (numbers[i] <= numbers[j]) {
      b[k++] = numbers[i++];
    } else {
      b[k++] = numbers[j++];
    }
  }

  // copy the remaining items to tmp array
  while (i <= mid) b[k++] = numbers[i++];
  while (j <= high) b[k++] = numbers[j++];

  --k;
  while (k >= 0) {
    numbers[low + k] = b[k];
    --k;
  }
}

void merge_sort(int numbers[], int low, int high) {
  if (low < high) {
    int mid = (low + high) / 2;

    merge_sort(numbers, low, mid);
    merge_sort(numbers, mid + 1, high);
    merge(numbers, low, mid, high);
  }
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Write a MergeSort class in Python (check answer carefully),Python으로 MergeSort 클래스 작성하기(답변을 주의 깊게 확인하세요),"class MergeSort(object):
    def __init__(self, numbers):
        self.values = numbers
        self.count = len(numbers)

    def sort(self):
        self.merge_sort(0, self.count - 1)
        return self.values

    def merge_sort(self, low, high):
        if low < high:
            mid = (low + high) // 2

            self.merge_sort(low, mid)
            self.merge_sort(mid + 1, high)
            self.merge(low, mid, high)

    def merge(self, low, mid, high):
        b = []
        i = low
        j = mid + 1

        while i <= mid and j <= high:
            if self.values[i] <= self.values[j]:
                b.append(self.values[i])
                i += 1
            else:
                b.append(self.values[j])
                j += 1

        while i <= mid:
            b.append(self.values[i])
            i += 1

        while j <= high:
            b.append(self.values[j])
            j += 1

        for index, val in enumerate(b):
            self.values[low + index] = val","class MergeSort(object):
    def __init__(self, numbers):
        self.values = numbers
        self.count = len(numbers)

    def sort(self):
        self.merge_sort(0, self.count - 1)
        return self.values

    def merge_sort(self, low, high):
        if low < high:
            mid = (low + high) // 2

            self.merge_sort(low, mid)
            self.merge_sort(mid + 1, high)
            self.merge(low, mid, high)

    def merge(self, low, mid, high):
        b = []
        i = low
        j = mid + 1

        while i <= mid and j <= high:
            if self.values[i] <= self.values[j]:
                b.append(self.values[i])
                i += 1
            else:
                b.append(self.values[j])
                j += 1

        while i <= mid:
            b.append(self.values[i])
            i += 1

        while j <= high:
            b.append(self.values[j])
            j += 1

        for index, val in enumerate(b):
            self.values[low + index] = val",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
